Dependency=Heating Fuel	Dependency=HVAC Has Shared System	Dependency=HVAC Heating Type	Dependency=Vintage	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF	Option=Electric Baseboard, 100% Efficiency	Option=Electric Boiler, 100% AFUE	Option=Electric Furnace, 100% AFUE	Option=Electric Wall Furnace, 100% AFUE	Option=Fuel Boiler, 76% AFUE	Option=Fuel Boiler, 80% AFUE	Option=Fuel Boiler, 90% AFUE	Option=Fuel Furnace, 60% AFUE	Option=Fuel Furnace, 76% AFUE	Option=Fuel Furnace, 80% AFUE	Option=Fuel Furnace, 92.5% AFUE	Option=Fuel Wall/Floor Furnace, 60% AFUE	Option=Fuel Wall/Floor Furnace, 68% AFUE	Option=MSHP, SEER 14.5, 8.2 HSPF	Option=MSHP, SEER 29.3, 14 HSPF	Option=None	Option=Shared Heating	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Electricity	None	Non-Ducted Heating	1940s	0	0	0	0.860727	0.0247042	0	0.114569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	189365	147	189365
Electricity	None	Non-Ducted Heating	1950s	0	0	0	0.859852	0.0275371	0	0.11261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	352589	86	352589
Electricity	None	Non-Ducted Heating	1960s	0	0	0	0.839912	0.00727882	0	0.152809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	515620	128	515620
Electricity	None	Non-Ducted Heating	1970s	0	0	0	0.814489	0.0237715	0	0.161739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	957504	275	957504
Electricity	None	Non-Ducted Heating	1980s	0	0	0	0.805872	0.0336043	0	0.160524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	764591	210	764591
Electricity	None	Non-Ducted Heating	1990s	0	0	0	0.851594	0.0167827	0	0.131624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	564639	139	564639
Electricity	None	Non-Ducted Heating	2000s	0	0	0	0.77894	0.0657439	0	0.155316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	480709	129	480709
Electricity	None	Non-Ducted Heating	2010s	0	0	0	0.804318	0.0179587	0	0.177723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	350017	108	350017
Electricity	None	Non-Ducted Heating	<1940	0	0	0	0.860727	0.0247042	0	0.114569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	489363	147	489363
Electricity	Cooling Only	None	1940s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
