Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	fallback_count	fallback_weight
2 weeks	200-300%	Single-Family Attached	0.0631133	0.0398451	0.0741655	0.0390977	0.101249	0.0404093	0.637739	0.00438086	7	8051.79	56	132115
3 days	200-300%	Single-Family Attached	0.141617	0	0	0	0.100422	0	0.757961	0	7	11629.5	15	27210.4
3 months	200-300%	Single-Family Attached	0.0198309	0.0810157	0.0184623	0.106032	0.0467503	0.0914407	0.636459	9.36607e-06	5	6137.32	61	143505
Never	200-300%	Single-Family Attached	0.00536654	0.00825089	0.000301235	0.00115442	0.00458279	0.0105138	0.969031	0.000798967	407	1.08214e+06	407	1.08214e+06
Year round	200-300%	Single-Family Attached	0	0.0465161	0.00422498	0.0287299	0	0.00136665	0.617474	0.301688	4	1356.39	31	76786.1
1 day	300-400%	Single-Family Attached	0.166533	0	0	0	0.166533	0.106373	0.546552	0.014008	5	8577.57	12	17559.2
1 month	300-400%	Single-Family Attached	0.0775488	0.0473428	0.0695034	0.111636	0.056509	0.0535184	0.581741	0.00220007	1	983.063	87	244460
1 week	300-400%	Single-Family Attached	0.109694	0.0312377	0.0440913	0.0361331	0.168194	0	0.610649	0	4	7299.07	76	207153
2 weeks	300-400%	Single-Family Attached	0.0631133	0.0398451	0.0741655	0.0390977	0.101249	0.0404093	0.637739	0.00438086	2	2876.91	56	132115
3 days	300-400%	Single-Family Attached	0.141617	0	0	0	0.100422	0	0.757961	0	8	15580.8	15	27210.4
3 months	300-400%	Single-Family Attached	0.0198309	0.0810157	0.0184623	0.106032	0.0467503	0.0914407	0.636459	9.36607e-06	1	4036.7	61	143505
Never	300-400%	Single-Family Attached	0.00126159	0	0	0	0.00126159	0.000108229	0.995458	0.0019106	346	922649	346	922649
Year round	300-400%	Single-Family Attached	0	0.0465161	0.00422498	0.0287299	0	0.00136665	0.617474	0.301688	2	3080.56	31	76786.1
1 day	400%+	Single-Family Attached	0.144503	0	0	0	0.0588841	0	0.796613	0	2	2184.31	30	130014
1 month	400%+	Single-Family Attached	0	0.103131	0.0471875	0.024156	0.0149795	0.0162347	0.786149	0.00816172	0	0	29	107359
1 week	400%+	Single-Family Attached	0.0232533	0.0195995	0.0687319	0.0372757	0.0876095	0.0220751	0.721255	0.0201998	3	13621.5	35	124732
2 weeks	400%+	Single-Family Attached	0	0	0.0265452	0	0.050118	0.0440387	0.866358	0.0129403	3	8386.3	31	112855
3 days	400%+	Single-Family Attached	0.0596197	0.0193665	0.0261617	0.0322775	0.0302566	0	0.812358	0.0199596	4	10399.5	40	126233
3 months	400%+	Single-Family Attached	0.0134816	0.0328356	0.0832382	0.0271444	0.0524261	0.0371004	0.751699	0.00207473	4	6145.49	26	95539.5
Never	400%+	Single-Family Attached	0.000464529	0	0	0.00174845	0.00184653	0.000163306	0.995762	1.49491e-05	898	3.21e+06	898	3.21e+06
Year round	400%+	Single-Family Attached	0	0	0.00945307	0	0	0.0201401	0.607322	0.363085	2	1155.27	18	45736.5
1 day	Not Available	Single-Family Attached	0.226676	0	0	0	0.0992536	0.0782944	0.565339	0.0304376	16	45924	16	45924
1 month	Not Available	Single-Family Attached	0.03467	0.0264492	0.0378457	0.0125386	0.0302512	0.0574508	0.796237	0.00455749	24	76196.8	24	76196.8
1 week	Not Available	Single-Family Attached	0.0430146	0	0.185623	0	0.340875	0	0.430488	0	16	64997.8	16	64997.8
2 weeks	Not Available	Single-Family Attached	0.0350115	0.0188997	0.070786	0.0314995	0.24789	0.0935028	0.490961	0.0114493	20	50551.2	20	50551.2
3 days	Not Available	Single-Family Attached	0.095732	0	0.102252	0	0.118888	0	0.683128	0	21	66573.5	21	66573.5
3 months	Not Available	Single-Family Attached	0.0552926	0.0512328	0.0619856	0.107047	0.0228314	0.0585107	0.625922	0.0171774	17	30912.4	17	30912.4
Never	Not Available	Single-Family Attached	0.00199125	0.00167194	0.00122797	0.00249263	0.00583085	0.00187133	0.984538	0.000376441	1670	7.10707e+06	1670	7.10707e+06
Year round	Not Available	Single-Family Attached	0.000277576	0.0158281	0.00335356	0.00977595	0.000277576	0.116536	0.491143	0.362808	7	8955.7	52	225662
1 day	0-100%	Single-Family Detached	0.207821	0	0	0	0.12381	0	0.668368	0	15	67059.7	15	67059.7
1 month	0-100%	Single-Family Detached	0.260771	0.150186	0.00974602	0.0469209	0.120444	0.00439325	0.406217	0.00132224	39	143280	39	143280
1 week	0-100%	Single-Family Detached	0.0722867	0.0431877	0.147986	0.183462	0.120665	0	0.432413	0	27	147244	27	147244
2 weeks	0-100%	Single-Family Detached	0.00918695	0.116635	0.187908	0.0462506	0.123637	0.0820618	0.41221	0.0221096	26	128531	26	128531
3 days	0-100%	Single-Family Detached	0.0942466	0	0.106233	0	0.407849	0	0.391671	0	33	139720	33	139720
3 months	0-100%	Single-Family Detached	0.0419382	0.0934857	0.0397494	0.00607447	0.0546584	0.214639	0.403787	0.145668	26	126522	26	126522
