Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Space Combination	Dependency=Vintage ACS	Dependency=Water Heater In Unit	Option=Attic	Option=Conditioned Mechanical Room	Option=Crawlspace	Option=Garage	Option=Heated Basement	Option=Living Space	Option=Outside	Option=Unheated Basement	source_count	source_weight	fallback_count	fallback_weight
1A	Single-Family Detached, Unvented Crawlspace, Finished Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, No Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, No Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, No Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Unvented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Unvented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Unvented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Vented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Vented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Vented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Unvented Crawlspace, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Finished Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Finished Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Finished Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Finished Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, No Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, No Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, No Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, No Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Unvented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Unvented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Unvented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Unvented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Vented Attic, 1 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Vented Attic, 2 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Vented Attic, 3 Car Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage	1940-59	No	0	1	0	0	0	0	0	0	0	0	29	6588.75
1A	Mobile Home, Ambient, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.733625	0.266375	0	0	0	47	129043
1A	Multi-Family with 2 - 4 Units Bottom Unit, Slab, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2918.57	29	91502.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Slab, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2927.34	29	91777.6
1A	Multi-Family with 2 - 4 Units Top Unit, Slab, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2918.57	29	91502.8
1A	Multi-Family with 2 - 4 Units Bottom Unit, Unheated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.389036	0.118444	0.492521	5	2918.57	29	91502.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Unheated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2927.34	29	91777.6
1A	Multi-Family with 2 - 4 Units Top Unit, Unheated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2918.57	29	91502.8
1A	Multi-Family with 2 - 4 Units Bottom Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0.0328124	0	0	0.74145	0.225738	0	5	2918.57	29	91502.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2927.34	29	91777.6
1A	Multi-Family with 2 - 4 Units Top Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2918.57	29	91502.8
1A	Multi-Family with 2 - 4 Units Bottom Unit, Vented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0.0328124	0	0	0.74145	0.225738	0	5	2918.57	29	91502.8
1A	Multi-Family with 2 - 4 Units Middle Unit, Vented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2927.34	29	91777.6
1A	Multi-Family with 2 - 4 Units Top Unit, Vented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	5	2918.57	29	91502.8
1A	Multi-Family with 5+ Units Bottom Unit, Slab, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	251.571	29	91502.8
1A	Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	252.327	29	91777.6
1A	Multi-Family with 5+ Units Top Unit, Slab, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	251.571	29	91502.8
1A	Multi-Family with 5+ Units Bottom Unit, Unheated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.389036	0.118444	0.492521	2	251.571	29	91502.8
1A	Multi-Family with 5+ Units Middle Unit, Unheated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	252.327	29	91777.6
1A	Multi-Family with 5+ Units Top Unit, Unheated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	251.571	29	91502.8
1A	Multi-Family with 5+ Units Bottom Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0.0328124	0	0	0.74145	0.225738	0	2	251.571	29	91502.8
1A	Multi-Family with 5+ Units Middle Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	252.327	29	91777.6
1A	Multi-Family with 5+ Units Top Unit, Unvented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	251.571	29	91502.8
1A	Multi-Family with 5+ Units Bottom Unit, Vented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0.0328124	0	0	0.74145	0.225738	0	2	251.571	29	91502.8
1A	Multi-Family with 5+ Units Middle Unit, Vented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	252.327	29	91777.6
1A	Multi-Family with 5+ Units Top Unit, Vented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.766604	0.233396	0	2	251.571	29	91502.8
1A	Single-Family Attached, Heated Basement, Finished Attic, No Garage	1940-59	Yes	0	0	0	0	0.0303726	0.829153	0.140475	0	0	0	21	64755.4
1A	Single-Family Attached, Heated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0.0441799	0.710707	0.245113	0	0	0	13	30726.8
1A	Single-Family Attached, Heated Basement, Unvented Attic, No Garage	1940-59	Yes	0	0	0	0	0.0303726	0.829153	0.140475	0	0	0	21	64755.4
1A	Single-Family Attached, Heated Basement, Vented Attic, No Garage	1940-59	Yes	0	0	0	0	0.0303726	0.829153	0.140475	0	0	0	21	64755.4
1A	Single-Family Attached, Slab, Finished Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Slab, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.743558	0.256442	0	1	1148.62	13	30726.8
1A	Single-Family Attached, Slab, Unvented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Slab, Vented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Unheated Basement, Finished Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.829153	0.140475	0.0303726	0	0	21	64755.4
1A	Single-Family Attached, Unheated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.710707	0.245113	0.0441799	0	0	13	30726.8
1A	Single-Family Attached, Unheated Basement, Unvented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.829153	0.140475	0.0303726	0	0	21	64755.4
1A	Single-Family Attached, Unheated Basement, Vented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.829153	0.140475	0.0303726	0	0	21	64755.4
1A	Single-Family Attached, Unvented Crawlspace, Finished Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Unvented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.743558	0.256442	0	0	0	13	30726.8
1A	Single-Family Attached, Unvented Crawlspace, Unvented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Unvented Crawlspace, Vented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Vented Crawlspace, Finished Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Vented Crawlspace, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.743558	0.256442	0	0	0	13	30726.8
1A	Single-Family Attached, Vented Crawlspace, Unvented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Attached, Vented Crawlspace, Vented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Detached, Ambient, Finished Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Detached, Ambient, No Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.743558	0.256442	0	5	19279.9	13	30726.8
1A	Single-Family Detached, Ambient, Unvented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Detached, Ambient, Vented Attic, No Garage	1940-59	Yes	0	0	0	0	0	0.855125	0.144875	0	0	0	21	64755.4
1A	Single-Family Detached, Heated Basement, Finished Attic, 1 Car Garage	1940-59	Yes	0	0	0	0.624229	0	0.190157	0.185614	0	0	0	13	39353.6
1A	Single-Family Detached, Heated Basement, Finished Attic, 2 Car Garage	1940-59	Yes	0	0	0	0.770241	0	0.0139592	0.2158	0	0	0	11	22210.2
1A	Single-Family Detached, Heated Basement, Finished Attic, 3 Car Garage	1940-59	Yes	0	0	0	0.335281	0.0152413	0.476473	0.173005	0	0	0	47	129043
1A	Single-Family Detached, Heated Basement, Finished Attic, No Garage	1940-59	Yes	0	0	0	0	0.0303726	0.829153	0.140475	0	0	0	21	64755.4
1A	Single-Family Detached, Heated Basement, No Attic, 1 Car Garage	1940-59	Yes	0	0	0	0.624229	0	0.190157	0.185614	0	0	0	13	39353.6
1A	Single-Family Detached, Heated Basement, No Attic, 2 Car Garage	1940-59	Yes	0	0	0	0.770241	0	0.0139592	0.2158	0	0	0	11	22210.2
1A	Single-Family Detached, Heated Basement, No Attic, 3 Car Garage	1940-59	Yes	0	0	0	0.335281	0.0152413	0.476473	0.173005	0	0	0	47	129043
1A	Single-Family Detached, Heated Basement, No Attic, No Garage	1940-59	Yes	0	0	0	0	0.0441799	0.710707	0.245113	0	2	280.798	13	30726.8
