Dependency=State	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	Option=Solar Thermal, 40 sqft, East, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, North, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Fuel Oil Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Propane Standard Backup	Option=Solar Thermal, 40 sqft, West, Roof Pitch, Electric Standard Backup	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
AL	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
AL	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169292	0.506976	0.323732	0	0	0	0	0	0	0	0	6	45317.9	35	197139
AL	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
AL	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
AR	Electricity	0.005	0	0	0.182057	0.766401	0.0465423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	679485	158	679485
AR	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93083.8
AR	Natural Gas	0	0	0	0	0	0	0	0	0	0.164319	0.788932	0.0467487	0	0	0	0	0	0	0	0	0	0	0	0	100	421721	100	421721
AR	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
AR	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198763	0.801237	0	0	0	0	0	0	0	0	0	10	42426.5	10	42426.5
AR	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
AR	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
AZ	Electricity	0.005	0	0	0.140247	0.806053	0.0486994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	1.48111e+06	265	1.48111e+06
AZ	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10806.4	47	71070.5
AZ	Natural Gas	0	0	0	0	0	0	0	0	0	0.0960045	0.817075	0.0869202	0	0	0	0	0	0	0	0	0	0	0	0	211	1.08057e+06	211	1.08057e+06
AZ	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5947.34	13	65186.3
AZ	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140833	0.636094	0.223073	0	0	0	0	0	0	0	0	14	81967.1	14	81967.1
AZ	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	3	15205	61	132417
AZ	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
CA	Electricity	0.005	0	0	0.271709	0.599073	0.124218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	2.47668e+06	202	2.47668e+06
CA	Fuel Oil	0	0	0	0	0	0	0.191887	0.3599	0.448213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9950.11	44	46472.8
CA	Natural Gas	0	0	0	0	0	0	0	0	0	0.309447	0.596036	0.0945174	0	0	0	0	0	0	0	0	0	0	0	0	910	1.02707e+07	910	1.02707e+07
CA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
CA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305461	0.532251	0.162288	0	0	0	0	0	0	0	0	37	395308	37	395308
CA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225093	0.0244123	0.567602	0	0.0142406	0.0352778	0.133375	0	2	28230.8	56	113935
CA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
CO	Electricity	0.005	0	0	0.193657	0.770598	0.0307451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	497259	74	497259
CO	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9139.16	47	71070.5
CO	Natural Gas	0	0	0	0	0	0	0	0	0	0.133578	0.794146	0.0722768	0	0	0	0	0	0	0	0	0	0	0	0	271	1.6572e+06	271	1.6572e+06
CO	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	20322.2	13	65186.3
CO	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226045	0.773955	0	0	0	0	0	0	0	0	0	12	75941.9	12	75941.9
CO	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	0	0	61	132417
CO	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
CT	Electricity	0.005	0	0	0.175054	0.762598	0.0573479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	508932	110	508932
CT	Fuel Oil	0	0	0	0	0	0	0.306505	0.200587	0.492907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	296696	71	296696
CT	Natural Gas	0	0	0	0	0	0	0	0	0	0.183348	0.747686	0.0689667	0	0	0	0	0	0	0	0	0	0	0	0	98	520681	98	520681
CT	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
CT	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123572	0.553067	0.323361	0	0	0	0	0	0	0	0	13	48122.6	13	48122.6
CT	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	1	3979.19	75	228487
CT	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3486.4	11	45165.9
DC	Electricity	0.005	0	0	0.278433	0.662146	0.0544209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	165900	114	165900
DC	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2960.03	16	71939.1
DC	Natural Gas	0	0	0	0	0	0	0	0	0	0.241746	0.720648	0.0376057	0	0	0	0	0	0	0	0	0	0	0	0	104	146793	104	146793
DC	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
DC	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953087	0.473714	0.430977	0	0	0	0	0	0	0	0	1	800.02	87	595434
DC	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
DC	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
DE	Electricity	0.005	0	0	0.131691	0.778397	0.0849126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	216354	82	216354
DE	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14982	16	71939.1
DE	Natural Gas	0	0	0	0	0	0	0	0	0	0.249525	0.658766	0.0917081	0	0	0	0	0	0	0	0	0	0	0	0	42	110517	42	110517
DE	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
DE	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0886908	0.417773	0.493536	0	0	0	0	0	0	0	0	14	38600.8	14	38600.8
DE	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
DE	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
FL	Electricity	0.005	0	0	0.192838	0.763744	0.0384181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	7.08592e+06	570	7.08592e+06
FL	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	71939.1
FL	Natural Gas	0	0	0	0	0	0	0	0	0	0.127604	0.705219	0.167177	0	0	0	0	0	0	0	0	0	0	0	0	71	826945	71	826945
FL	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7279.13	13	65186.3
FL	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0759386	0.361782	0.562279	0	0	0	0	0	0	0	0	11	119746	11	119746
FL	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	2	22273.7	75	228487
FL	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
GA	Electricity	0.005	0	0	0.236536	0.721275	0.0371891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	2.30747e+06	241	2.30747e+06
GA	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	71939.1
GA	Natural Gas	0	0	0	0	0	0	0	0	0	0.197641	0.751838	0.0505201	0	0	0	0	0	0	0	0	0	0	0	0	162	1.45555e+06	162	1.45555e+06
GA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
GA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065383	0.622224	0.312393	0	0	0	0	0	0	0	0	13	110789	13	110789
GA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
GA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7596.31	20	113914
HI	Electricity	0.005	0	0	0.0931813	0.870634	0.0311845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	314440	186	314440
HI	Fuel Oil	0	0	0	0	0	0	0.191887	0.3599	0.448213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	46472.8
HI	Natural Gas	0	0	0	0	0	0	0	0	0	0.269987	0.663689	0.0663239	0	0	0	0	0	0	0	0	0	0	0	0	28	50283.6	28	50283.6
HI	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
HI	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747622	0.649649	0.275589	0	0	0	0	0	0	0	0	15	24799.7	15	24799.7
HI	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221074	0.0239765	0.557468	0	0.0191208	0.0473673	0.130994	0	53	84855.1	53	84855.1
HI	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
IA	Electricity	0.005	0	0	0.149527	0.774717	0.070756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	418184	89	418184
IA	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	2.62044e+06
IA	Natural Gas	0	0	0	0	0	0	0	0	0	0.197122	0.752852	0.0500266	0	0	0	0	0	0	0	0	0	0	0	0	168	749909	168	749909
IA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
IA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196968	0.770872	0.0321593	0	0	0	0	0	0	0	0	28	109928	28	109928
IA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
IA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3927.09	20	113914
ID	Electricity	0.005	0	0	0.175677	0.797203	0.0221195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	306380	119	306380
ID	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	71070.5
ID	Natural Gas	0	0	0	0	0	0	0	0	0	0.15829	0.789881	0.0518294	0	0	0	0	0	0	0	0	0	0	0	0	143	331148	143	331148
ID	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
ID	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16692	0.6694	0.16368	0	0	0	0	0	0	0	0	8	18982.6	40	146537
ID	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	0	0	61	132417
ID	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
IL	Electricity	0.005	0	0	0.165934	0.780674	0.0483916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	1.37627e+06	139	1.37627e+06
IL	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	2.62044e+06
IL	Natural Gas	0	0	0	0	0	0	0	0	0	0.113734	0.865739	0.020528	0	0	0	0	0	0	0	0	0	0	0	0	375	3.39088e+06	375	3.39088e+06
IL	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6176.57	13	65186.3
IL	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124796	0.678599	0.196605	0	0	0	0	0	0	0	0	15	127200	15	127200
IL	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
IL	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
IN	Electricity	0.005	0	0	0.159762	0.800031	0.0352072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	1.12672e+06	176	1.12672e+06
IN	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17164	604	2.62044e+06
IN	Natural Gas	0	0	0	0	0	0	0	0	0	0.107268	0.851768	0.0409647	0	0	0	0	0	0	0	0	0	0	0	0	204	1.34658e+06	204	1.34658e+06
IN	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
IN	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0935879	0.703248	0.203164	0	0	0	0	0	0	0	0	16	92827.6	16	92827.6
IN	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	1	8947.24	75	228487
IN	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7359.58	20	113914
KS	Electricity	0.005	0	0	0.22154	0.744902	0.0285584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	358026	59	358026
KS	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	2.62044e+06
KS	Natural Gas	0	0	0	0	0	0	0	0	0	0.174269	0.801964	0.0237675	0	0	0	0	0	0	0	0	0	0	0	0	133	686788	133	686788
KS	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
KS	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828648	0.171352	0	0	0	0	0	0	0	0	16	82257.8	16	82257.8
KS	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
KS	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
KY	Electricity	0.005	0	0	0.190674	0.764462	0.0398647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	1.13187e+06	275	1.13187e+06
KY	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93083.8
KY	Natural Gas	0	0	0	0	0	0	0	0	0	0.148705	0.843998	0.00729663	0	0	0	0	0	0	0	0	0	0	0	0	146	577972	146	577972
KY	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
KY	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169292	0.506976	0.323732	0	0	0	0	0	0	0	0	7	28425.1	35	197139
KY	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
KY	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
LA	Electricity	0.005	0	0	0.226455	0.749255	0.0192908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	1.04755e+06	183	1.04755e+06
LA	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93083.8
LA	Natural Gas	0	0	0	0	0	0	0	0	0	0.170333	0.770181	0.0594859	0	0	0	0	0	0	0	0	0	0	0	0	120	634349	120	634349
LA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
LA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132679	0.629867	0.237454	0	0	0	0	0	0	0	0	8	45330.2	63	478614
LA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
LA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
MA	Electricity	0.005	0	0	0.235561	0.635737	0.123702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	806307	163	806307
MA	Fuel Oil	0	0	0	0	0	0	0.318048	0.132846	0.549106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	408448	94	408448
MA	Natural Gas	0	0	0	0	0	0	0	0	0	0.189751	0.68572	0.124529	0	0	0	0	0	0	0	0	0	0	0	0	277	1.4225e+06	277	1.4225e+06
MA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7346.07	13	65186.3
MA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0624829	0.825796	0.111721	0	0	0	0	0	0	0	0	15	61993.1	15	61993.1
MA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	1	2530.66	75	228487
MA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4653.74	11	45165.9
MD	Electricity	0.005	0	0	0.158966	0.762804	0.0732293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	1.29833e+06	202	1.29833e+06
MD	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	32906.2	16	71939.1
MD	Natural Gas	0	0	0	0	0	0	0	0	0	0.167432	0.780935	0.0516336	0	0	0	0	0	0	0	0	0	0	0	0	142	879948	142	879948
MD	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
MD	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953087	0.473714	0.430977	0	0	0	0	0	0	0	0	7	46040	87	595434
MD	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	1	13310.6	75	228487
MD	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10798.4	20	113914
ME	Electricity	0.0671	0	0	0.216591	0.676171	0.040138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	199383	76	199383
ME	Fuel Oil	0	0	0	0	0	0	0.330573	0.177729	0.491698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	190409	78	190409
ME	Natural Gas	0	0	0	0	0	0	0	0	0	0.298824	0.607284	0.0938921	0	0	0	0	0	0	0	0	0	0	0	0	26	78050.6	26	78050.6
ME	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1320.17	13	65186.3
ME	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10829	0.344522	0.547188	0	0	0	0	0	0	0	0	37	80708.9	37	80708.9
ME	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	2	6487.12	75	228487
ME	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	8176.14	11	45165.9
MI	Electricity	0.005	0	0	0.101905	0.862464	0.0306308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	1.07072e+06	101	1.07072e+06
MI	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	33615	604	2.62044e+06
MI	Natural Gas	0	0	0	0	0	0	0	0	0	0.138577	0.814032	0.0473913	0	0	0	0	0	0	0	0	0	0	0	0	263	2.6025e+06	263	2.6025e+06
MI	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
MI	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331424	0.619162	0.0494136	0	0	0	0	0	0	0	0	20	206376	20	206376
MI	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
MI	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5706.89	20	113914
MN	Electricity	0.005	0	0	0.214796	0.736527	0.0436775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	832059	116	832059
MN	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	2.62044e+06
