Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	source_count	source_weight	fallback_count	fallback_weight
East North Central	Single-Family Detached	0-1499	Ambient	4+	1940-59	0	0	0	1	0	0	10	54636.4
East North Central	Single-Family Detached	1500-2499	Ambient	4+	1940-59	0	0	0	1	0	0	16	90724.4
East North Central	Single-Family Detached	2500-3999	Ambient	4+	1940-59	0	0	0	1	0	0	13	48168.4
East North Central	Single-Family Detached	4000+	Ambient	4+	1940-59	0	0	0	1	0	0	4	11470
East North Central	Mobile Home	0-1499	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	0-1499	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	0-1499	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	0-1499	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	1	1940-59	0	0	0	1	0	0	120	120235
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	1	1940-59	0	0	0	1	0	0	44	47394.3
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	2	1940-59	0	0	0	1	0	0	120	120235
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	2	1940-59	0	0	0	1	0	0	44	47394.3
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	3	1940-59	0	0	0	1	0	0	120	120235
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	3	1940-59	0	0	0	1	0	0	44	47394.3
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	4+	1940-59	0	0	0	1	0	0	120	120235
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	0	0	44	47394.3
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	1	1940-59	0	0	0	1	0	0	148	142601
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	1	1940-59	0	0	0	1	0	0	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	2	1940-59	0	0	0	1	0	0	148	142601
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	2	1940-59	0	0	0	1	0	0	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	3	1940-59	0	0	0	1	0	0	148	142601
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	3	1940-59	0	0	0	1	0	0	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	4+	1940-59	0	0	0	1	0	0	148	142601
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	0	0	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Heated Basement	1	1940-59	0	0	0	1	0	0	14	55558.2
East North Central	Single-Family Attached	1500-2499	Heated Basement	1	1940-59	0	0	0	1	0	0	10	43021.8
East North Central	Single-Family Attached	2500-3999	Heated Basement	1	1940-59	0	0	0	1	1	2215.56	4	10697.5
East North Central	Single-Family Attached	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Heated Basement	2	1940-59	0	0	0	1	5	9542.92	14	55558.2
East North Central	Single-Family Attached	1500-2499	Heated Basement	2	1940-59	0	0	0	1	2	7293.47	10	43021.8
East North Central	Single-Family Attached	2500-3999	Heated Basement	2	1940-59	0	0	0	1	1	858.628	4	10697.5
East North Central	Single-Family Attached	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Heated Basement	3	1940-59	0	0	0	1	1	875.905	14	55558.2
