Input Name,Input Description,Data Type
build_existing_model.state_metro_median_income,:ref:`state_metro_median_income`,string
build_existing_model.tenure,:ref:`tenure`,string
build_existing_model.usage_level,:ref:`usage_level`,string
build_existing_model.vacancy_status,:ref:`vacancy_status`,string
build_existing_model.vintage,:ref:`vintage`,string
build_existing_model.vintage_acs,:ref:`vintage_acs`,string
build_existing_model.water_heater_efficiency,:ref:`water_heater_efficiency`,string
build_existing_model.water_heater_fuel,:ref:`water_heater_fuel`,string
build_existing_model.water_heater_in_unit,:ref:`water_heater_in_unit`,string
build_existing_model.water_heater_location,:ref:`water_heater_location`,string
build_existing_model.window_areas,:ref:`window_areas`,string
build_existing_model.windows,:ref:`windows`,string
building_id,The building unit number (between 1 and the number of samples).,int
upgrade,The upgrade run number (will be present for upgrade run).,int
job_id,The unique identifier of the job/processor.,int
started_at,Simulation start time.,string
completed_at,Simulation end time.,string
completed_status,"Simulation Success, Fail, or Invalid.",string
eplusout_err,Contents of the eplusout.err file.,string
build_existing_model.air_leakage_to_outside_ach_50,Total infiltration to the dwelling unit adjusted by ratio of exterior envelope surface area to total envelope surface area.,float
build_existing_model.applicable,The measure was applied to the workflow.,bool
build_existing_model.buildstock_csv_path,Absolute/relative path of the buildstock CSV file. Relative is compared to the 'lib/housing_characteristics' directory.,string
build_existing_model.project_directory,The project directory containing the housing characteristics folder (e.g. project_national).,string
build_existing_model.sample_weight,Number of buildings this simulation represents.,float
build_existing_model.units_represented,The number of dwelling units this simulation represents. Should always be one.,int
build_existing_model.emissions_electricity_folders,"Relative paths of electricity emissions factor schedule files with hourly values. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. File names must contain GEA region names.",string
build_existing_model.emissions_electricity_units,"Electricity emissions factors units. If multiple scenarios, use a comma-separated list. Only lb/MWh and kg/MWh are allowed.",string
build_existing_model.emissions_electricity_values_or_filepaths,"Electricity emissions factors values, specified as either an annual factor or an absolute/relative path to a file with hourly factors. If multiple scenarios, use a comma-separated list.",string
