zipcode,zipcode_city,zipcode_state,zipcode_latitude,zipcode_longitude,zipcode_energystar_zone,zipcode_iecc_zone,zipcode_utc_offset,station_wmo,station_distance,station_name,station_state,station_altitude,station_latitude,station_longitude,station_filename
01009,Bondsville,MA,42.2075,-72.3496,northern,5A,-5,744910,15.1294416,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01010,Brimfield,MA,42.1143,-72.1854,northern,5A,-5,744910,30.19560094,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01013,Chicopee,MA,42.1705,-72.6067,northern,5A,-5,744910,6.901709048,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01014,Chicopee,MA,42.1759,-72.5731,northern,5A,-5,744910,4.253999701,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01020,Chicopee,MA,42.1808,-72.5635,northern,5A,-5,744910,3.297278035,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01021,Chicopee,MA,42.1759,-72.5731,northern,5A,-5,744910,4.253999701,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01022,Chicopee,MA,42.1968,-72.5424,northern,5A,-5,744910,0.852174507,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01028,East Longmeadow,MA,42.0595,-72.4991,northern,5A,-5,744910,15.87103681,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01033,Granby,MA,42.2613,-72.5027,northern,5A,-5,744910,7.258432246,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01035,Hadley,MA,42.3561,-72.5677,northern,5A,-5,744910,17.59073172,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01036,Hampden,MA,42.0636,-72.4157,northern,5A,-5,744910,17.98892848,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01038,Hatfield,MA,42.3856,-72.6078,northern,5A,-5,744910,21.5353429,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01039,Haydenville,MA,42.4048,-72.6898,northern,5A,-5,744910,26.17027954,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
