Column Type,Import From Raw,Publish In Full,Annual Name,Annual Units,Published Annual Name,Published Annual Name Sightglass,Published Annual Unit,ResStock To Published Annual Unit Conversion Factor,Timeseries Name,Timeseries Units,Published Timeseries Name,Published Timeseries Name Sightglass,Published Timeseries Unit,ResStock To Published Timeseries Unit Conversion Factor,Notes
Input,yes,yes,build_existing_model.range_spot_vent_hour,,in.range_spot_vent_hour,in.range_spot_vent_hour,,,,,,,,,Range spot ventilation daily start hour.
Input,yes,yes,build_existing_model.reeds_balancing_area,,in.reeds_balancing_area,in.reeds_balancing_area,,,,,,,,,The Regional Energy Deployment System Model (ReEDS) balancing area that the sample is located.
Input,yes,yes,build_existing_model.refrigerator,,in.refrigerator,in.refrigerator,,,,,,,,,The presence and rated efficiency of the primary refrigerator.
Input,yes,yes,build_existing_model.refrigerator_usage_level,,in.refrigerator_usage_level,in.refrigerator_usage_level,,,,,,,,,Refrigerator energy usage level multiplier.
Input,yes,yes,build_existing_model.roof_material,,in.roof_material,in.roof_material,,,,,,,,,Roof material and color.
Input,yes,yes,build_existing_model.state,,in.state,in.state,,,,,,,,,The U.S. State the sample is located.
Input,yes,yes,build_existing_model.state_metro_median_income,,in.state_metro_median_income,in.state_metro_median_income,,,,,,,,,State Metro median income of the household occupying the dwelling unit. This is different from State Median Income in that the Income Limits are differentiated by Metro and Nonmetro portions of the state.
Input,yes,yes,build_existing_model.tenure,,in.tenure,in.tenure,,,,,,,,,The tenancy (owner or renter) of the household occupying the dwelling unit.
Input,yes,yes,build_existing_model.usage_level,,in.usage_level,in.usage_level,,,,,,,,,Usage of major appliances relative to the national average.
Input,yes,yes,build_existing_model.vacancy_status,,in.vacancy_status,in.vacancy_status,,,,,,,,,The vacancy status (occupied or vacant) of the dwelling unit.
Input,yes,yes,build_existing_model.vintage,,in.vintage,in.vintage,,,,,,,,,Time period in which the building was constructed.
Input,yes,yes,build_existing_model.vintage_acs,,in.vintage_acs,in.vintage_acs,,,,,,,,,Time period in which the dwelling unit was constructed as defined by the U.S. Census American Community Survey.
Input,yes,yes,build_existing_model.water_heater_efficiency,,in.water_heater_efficiency,in.water_heater_efficiency,,,,,,,,,"The efficiency, type, and heating fuel of water heater."
Input,yes,yes,build_existing_model.water_heater_fuel,,in.water_heater_fuel,in.water_heater_fuel,,,,,,,,,The water heater fuel type.
Input,yes,yes,build_existing_model.water_heater_in_unit,,in.water_heater_in_unit,in.water_heater_in_unit,,,,,,,,,Individual water heater present or not present in the dwelling unit that solely serves the specific dwelling unit.
